H,label
"[[2.74548575e-06,2.54951080e-06,2.77854853e-06,2.42924291e-06],
 [2.77871582e-06,2.65649988e-06,2.87311362e-06,2.56406727e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.66980150e-06,2.42863909e-06,2.61203958e-06,2.36100649e-06],
 [2.59978745e-06,2.64422489e-06,2.89112662e-06,2.47163812e-06],
 [0.00000000e+00,0.00000000e+00,3.09930471e-06,0.00000000e+00]]","[[ 0.09292388, 0.00885106, 0.1029815 , 0.01202289],
 [ 0.05984807, 0.08146501, 0.04697557, 0.0724584 ],
 [ 0.00856711, 0.        , 0.00651449,-0.01564695],
 [ 0.05892048, 0.        , 0.06256113,-0.01282358],
 [ 0.06033523, 0.        , 0.02356045, 0.4936822 ],
 [ 0.06746574, 0.        , 0.10078305,-0.01255542]]"
"[[2.27540734e-06,2.42799774e-06,2.31449231e-06,2.77040528e-06],
 [2.38686423e-06,2.55313637e-06,0.00000000e+00,3.04426795e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.18350394e-06,2.36156058e-06,2.27376977e-06,2.58220935e-06],
 [2.38390918e-06,2.45861792e-06,2.52033587e-06,3.08472242e-06],
 [0.00000000e+00,0.00000000e+00,2.61572666e-06,3.23058750e-06]]","[[ 0.05253082,-0.12768715, 0.04374547, 0.05637069],
 [ 0.05775617, 0.09218137, 0.06481457,-0.0021043 ],
 [ 0.04928594, 0.        , 0.05357006,-0.10504099],
 [-0.01311618, 0.        ,-0.02032415,-0.09424986],
 [ 0.06007966, 0.        , 0.06905015, 0.08636682],
 [ 0.07148205, 0.        , 0.03270613, 0.1686891 ]]"
"[[2.43528910e-06,2.73370035e-06,2.63385119e-06,2.70741447e-06],
 [2.74810591e-06,2.92117188e-06,2.83371121e-06,2.87122900e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.27602474e-06,2.56933422e-06,2.56066864e-06,2.55467401e-06],
 [2.80167396e-06,2.93124099e-06,2.66122400e-06,2.86747806e-06],
 [2.80160484e-06,3.10157955e-06,0.00000000e+00,3.03837419e-06]]","[[-0.02477177, 0.07186622,-0.03349908, 0.04316892],
 [ 0.05003041, 0.02099035, 0.04367069, 0.01028269],
 [ 0.06957302, 0.        , 0.07451301, 0.07295508],
 [ 0.05914116, 0.        , 0.05846055, 0.10593998],
 [ 0.07082793, 0.        , 0.14032439,-0.18151373],
 [ 0.02541344, 0.        , 0.02095559, 0.0991318 ]]"
"[[2.47919682e-06,2.72108188e-06,2.65945665e-06,2.47374485e-06],
 [2.56705034e-06,2.68918909e-06,2.77109148e-06,2.53296531e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.37562967e-06,2.62848198e-06,2.60171470e-06,2.36863599e-06],
 [2.54310563e-06,2.58354820e-06,2.56389454e-06,2.52071461e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.04063814,0.1165139 ,0.02630008,0.02082741],
 [0.11785232,0.06568421,0.11342826,0.11794142],
 [0.0653801 ,0.        ,0.09251311,0.        ],
 [0.06310207,0.        ,0.04751132,0.        ],
 [0.07307033,0.        ,0.15246223,0.        ],
 [0.04077229,0.        ,0.02499196,0.        ]]"
"[[2.33030775e-06,2.65328836e-06,2.42818028e-06,2.36034333e-06],
 [2.52667568e-06,2.87026278e-06,2.54419210e-06,2.51714126e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.23440506e-06,2.49395017e-06,2.35290015e-06,2.27567628e-06],
 [2.50662108e-06,2.88995666e-06,2.47037618e-06,2.47591531e-06],
 [2.55043718e-06,3.01223374e-06,0.00000000e+00,0.00000000e+00]]","[[ 0.01109431, 0.04608967, 0.01762607, 0.034106  ],
 [ 0.01333538, 0.05276536, 0.00353345, 0.05373943],
 [ 0.05656874, 0.        , 0.05957158, 0.17294242],
 [ 0.04468579, 0.        , 0.04318715, 0.17149213],
 [ 0.01844872, 0.        , 0.01525701,-0.10018959],
 [ 0.01730359, 0.        , 0.02783772,-0.10113163]]"
"[[2.39972320e-06,2.20587121e-06,2.41932886e-06,2.18255723e-06],
 [2.44702332e-06,2.38674863e-06,2.43754172e-06,0.00000000e+00],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.32216092e-06,2.11596002e-06,2.33347713e-06,2.11053486e-06],
 [2.40144801e-06,2.38149676e-06,2.41181402e-06,2.43089178e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,2.44081971e-06]]","[[ 0.08298469, 0.07316575, 0.08528641, 0.05854975],
 [ 0.0475802 ,-0.0362669 , 0.04264568, 0.0272321 ],
 [ 0.08658281, 0.        , 0.08357612,-0.0108505 ],
 [ 0.02110747, 0.        , 0.02056293,-0.00829869],
 [ 0.08419293, 0.        , 0.05428639,-0.00935865],
 [ 0.10486404, 0.        , 0.09980525, 0.48043663]]"
"[[2.66321276e-06,2.36514027e-06,2.40219265e-06,2.73777009e-06],
 [2.71152651e-06,2.51279132e-06,2.50065312e-06,2.68295021e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.58065469e-06,2.28448210e-06,2.32532925e-06,2.67411013e-06],
 [2.58212272e-06,2.46414019e-06,2.44160584e-06,2.49999216e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.09193502,0.08367985,0.08314688,0.1093959 ],
 [0.03051947,0.03799375,0.02495092,0.00293475],
 [0.05210364,0.        ,0.04715626,0.        ],
 [0.11795613,0.        ,0.13405573,0.        ],
 [0.07798962,0.        ,0.04361729,0.        ],
 [0.09143467,0.        ,0.14185129,0.        ]]"
"[[2.45630278e-06,2.62203801e-06,2.57302218e-06,2.47281228e-06],
 [2.55513018e-06,2.60176689e-06,2.44589404e-06,2.52566149e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.34278646e-06,2.54237257e-06,2.51746398e-06,2.42271947e-06],
 [2.55531805e-06,2.50105359e-06,2.34376883e-06,2.38761301e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[ 0.00235786, 0.02175532,-0.02257849, 0.01035476],
 [ 0.08670487, 0.10222701, 0.07655256, 0.04313653],
 [ 0.11096445, 0.        , 0.12780866, 0.        ],
 [ 0.05948487, 0.        , 0.07008759, 0.        ],
 [ 0.07586042, 0.        , 0.21284758, 0.        ],
 [ 0.06839305, 0.        , 0.04579763, 0.        ]]"
"[[2.40393681e-06,2.48470690e-06,2.31015477e-06,2.68731494e-06],
 [2.36644217e-06,2.64600903e-06,2.63720334e-06,2.67185496e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.36448676e-06,2.42076469e-06,2.23996472e-06,2.57191184e-06],
 [2.25076147e-06,2.51948396e-06,2.57919304e-06,2.63086247e-06],
 [0.00000000e+00,0.00000000e+00,2.62287339e-06,0.00000000e+00]]","[[ 0.08955302, 0.01530257, 0.11146115, 0.01598403],
 [ 0.04753405, 0.05779778, 0.04800708, 0.07833723],
 [ 0.00581741, 0.        , 0.00572312,-0.01391106],
 [ 0.0809911 , 0.        , 0.06181396,-0.01219838],
 [ 0.0463593 , 0.        , 0.03127788, 0.50500196],
 [ 0.10058696, 0.        , 0.07896416,-0.01235943]]"
"[[2.66361180e-06,2.39014368e-06,2.26291569e-06,2.45441948e-06],
 [2.81176269e-06,2.45611116e-06,2.42849417e-06,2.56684101e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00],
 [2.56419887e-06,2.33191557e-06,2.19453364e-06,2.38777337e-06],
 [2.70105434e-06,2.36615214e-06,2.38524141e-06,2.46540512e-06],
 [0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00]]","[[0.08202754,0.0871076 ,0.0607976 ,0.13153275],
 [0.09864606,0.0797872 ,0.11126325,0.06473398],
 [0.04728993,0.        ,0.04563471,0.        ],
 [0.08548689,0.        ,0.08884245,0.        ],
 [0.10150361,0.        ,0.07572631,0.        ],
 [0.05779455,0.        ,0.05045407,0.        ]]"
